ligand_id,binding_affinity
TPCN06011,-16.56
TPCN04891,-14.0
TPCN03862,-10.89
TPCN04809,-10.8
TPCN05951,-10.27
TPCN04421,-9.98
TPCN04060,-9.942
TPCN01942,-9.923
TPCN03952,-9.739
TPCN03785,-9.652
TPCN05653,-9.539
TPCN05414,-9.48
TPCN06238,-9.444
TPCN03558,-9.439
TPCN04582,-9.376
TPCN04352,-9.347
TPCN06101,-9.3
TPCN00744,-9.273
TPCN04867,-9.221
TPCN05709,-9.197
TPCN00032,-9.176
TPCN05953,-9.124
TPCN02233,-9.018
TPCN04288,-8.984
TPCN04665,-8.929
TPCN04975,-8.876
TPCN05841,-8.827
TPCN05113,-8.812
TPCN05000,-8.792
TPCN04537,-8.782
TPCN04356,-8.725
TPCN06156,-8.722
TPCN04904,-8.72
TPCN04955,-8.69
TPCN01727,-8.641
TPCN00908,-8.639
TPCN00806,-8.591
TPCN04962,-8.56
TPCN06145,-8.559
TPCN00240,-8.524
TPCN03173,-8.489
TPCN05813,-8.475
TPCN03107,-8.457
TPCN04871,-8.416
TPCN00297,-8.403
TPCN01196,-8.385
TPCN00097,-8.347
TPCN04585,-8.343
TPCN05372,-8.331
TPCN02487,-8.308
TPCN02755,-8.284
TPCN04488,-8.28
TPCN03919,-8.227
TPCN05340,-8.204
TPCN04507,-8.195
TPCN02706,-8.063
TPCN01673,-8.058
TPCN02390,-8.044
TPCN05236,-8.044
TPCN04699,-7.993
TPCN02541,-7.93
TPCN05508,-7.93
TPCN04270,-7.86
TPCN02442,-7.787
TPCN04649,-7.787
TPCN00024,-7.785
TPCN03471,-7.771
TPCN03227,-7.752
TPCN00248,-7.733
TPCN00209,-7.603
TPCN02586,-7.59
TPCN00133,-7.563
TPCN05206,-7.557
TPCN00536,-7.554
TPCN01346,-7.515
TPCN03521,-7.511
TPCN02527,-7.429
TPCN02795,-7.344
TPCN01075,-7.287
TPCN03297,-7.286
TPCN01226,-7.256
TPCN00218,-7.235
TPCN00813,-7.226
TPCN00512,-7.222
TPCN05543,-7.216
TPCN03247,-7.163
TPCN02816,-7.142
TPCN00684,-7.137
TPCN00157,-7.13
TPCN02843,-7.056
TPCN00866,-7.054
TPCN02136,-6.949
TPCN01198,-6.853
TPCN01324,-6.772
TPCN01298,-6.76
TPCN03419,-6.646
TPCN01154,-6.465
TPCN02272,-6.025
TPCN00477,-5.95
TPCN04554,
